Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Carlos Narváez,26,C,2.8,118,446,403,51,97,27,0,15,50,1,1,38,111,.241,.306,.419,.726,100,.311,97,169,12,1,2,2,0,*2/HD,,narvaca01
2,Abraham Toro#,28,1B,-0.2,77,284,259,33,62,13,0,7,27,2,1,14,42,.239,.289,.371,.659,83,.299,88,96,1,6,0,5,1,35/H1,,toroab01
3,Kristian Campbell,23,2B,-1.0,67,263,229,24,51,10,0,6,21,2,1,29,72,.223,.319,.345,.664,86,.299,88,79,1,4,0,1,0,4/8H7D,,campbkr01
4,Trevor Story,32,SS,3.8,157,654,612,91,161,29,0,25,96,31,1,33,176,.263,.308,.433,.741,104,.333,105,265,3,7,1,1,1,*6/HD,,storytr01
5,Alex Bregman,31,3B,3.5,114,495,433,64,118,28,0,18,62,1,1,51,70,.273,.360,.462,.821,128,.357,130,200,12,9,0,2,3,*5/HD,AS,bregmal01
6,Jarren Duran*,28,LF,4.6,157,696,620,86,159,41,13,16,84,24,6,60,169,.256,.332,.442,.774,114,.345,118,274,6,12,1,3,1,*78/H9D,,duranja01
7,Ceddanne Rafaela,24,CF,4.8,156,587,546,84,136,34,4,16,63,20,5,28,117,.249,.295,.414,.708,95,.309,92,226,9,8,3,2,0,*84/H,,rafaece01
8,Wilyer Abreu*,26,RF,3.2,115,417,373,53,92,17,0,22,69,6,3,40,101,.247,.317,.469,.786,116,.332,112,175,8,0,1,3,5,9H/D,,abreuwi02
9,Rafael Devers*,28,DH,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,.272,.401,.504,.905,151,.387,153,137,7,4,0,2,7,D,,deverra01
10,Romy González,28,IF,2.0,96,341,315,47,96,23,3,9,53,6,5,18,81,.305,.343,.483,.826,128,.363,137,152,8,3,0,5,1,34H/D5,,gonzaro01
11,Roman Anthony*,21,OF,3.1,71,303,257,48,75,18,1,8,32,4,1,40,84,.292,.396,.463,.859,140,.375,142,119,2,5,0,1,0,97D/H,,anthoro01
12,Rob Refsnyder,34,DH,1.2,70,209,182,29,49,12,0,9,30,3,0,24,54,.269,.354,.484,.838,131,.368,135,88,6,1,0,2,1,9HD7,,refsnro01
13,Masataka Yoshida*,31,DH,0.2,55,205,188,16,50,11,0,4,26,3,0,10,24,.266,.307,.388,.696,93,.320,100,73,3,3,0,4,0,D/H79,,yoshima02
14,David Hamilton*,27,2B,1.1,91,194,177,27,35,4,1,6,19,22,6,13,47,.198,.257,.333,.590,63,.274,60,59,3,1,3,0,0,4H6/D5,,hamilda03
15,Connor Wong,29,C,-0.6,63,188,168,16,32,8,0,0,7,2,1,16,42,.190,.262,.238,.500,42,.242,46,40,7,1,1,2,0,2/H3D,,wongco01
16,Marcelo Mayer*,22,3B,0.2,44,136,127,20,29,8,1,4,10,0,2,8,41,.228,.272,.402,.674,85,.288,85,51,2,0,0,1,0,5/4H6,,mayerma01
17,Nathaniel Lowe*,29,1B,0.4,34,119,100,14,28,6,1,2,16,0,0,15,29,.280,.370,.420,.790,121,.336,115,42,1,1,0,3,2,3/HD,,lowena01
18,Triston Casas*,25,1B,-0.9,29,112,99,5,18,3,0,3,11,0,0,11,27,.182,.277,.303,.580,62,.263,61,30,3,2,0,0,2,3/H,,casastr01
19,Nick Sogard#,27,UT,0.1,30,104,96,13,25,8,0,0,9,2,1,5,24,.260,.317,.344,.661,85,.300,88,33,3,3,0,0,0,3/54H96,,sogarni01
20,Nate Eaton,28,UT,0.1,41,90,81,16,24,4,0,1,4,9,2,6,19,.296,.348,.383,.731,105,.334,104,31,1,1,1,1,0,95/H871D,,eatonna01
21,Blake Sabol*,27,C,-0.2,8,18,16,2,2,1,0,0,1,0,0,1,7,.125,.167,.188,.354,-1,.156,-17,3,1,0,0,1,0,/2DH,,sabolbl01
22,Jhostynxon García,22,OF,0.0,5,9,7,0,1,1,0,0,0,0,0,2,5,.143,.333,.286,.619,76,.290,81,2,0,0,0,0,0,/79DH,,garcijh01
23,Ali Sánchez,28,C,0.0,4,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-126,0,0,0,0,0,0,/2H,,sanchal04
24,Aroldis Chapman*,37,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,chapmar01
25,Garrett Whitlock,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,whitlga01
26,Brennan Bernardino*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bernabr01
,Team Totals,,,30.5,162,6206,5562,786,1414,324,24,186,748,139,38,518,1419,.254,.324,.421,.745,106,.329,108,2344,99,72,13,41,24,,,-9999
